City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Bushehr,IR,2022-03-07 03:29:03,28.9684,50.8385,66.22,82,40,33.38
60,Paragould,US,2022-03-07 03:29:03,36.0584,-90.4973,73.24,77,100,1.01
61,Mecca,SA,2022-03-07 03:28:14,21.4267,39.8261,74.08,63,6,1.63
62,Adrar,MR,2022-03-07 03:29:04,20.5022,-10.0711,58.73,23,0,11.25
63,La Palma,US,2022-03-07 03:24:51,33.8464,-118.0467,56.93,64,0,8.05
64,Vestmanna,FO,2022-03-07 03:29:05,62.1564,-7.1664,43.72,93,100,23.02
65,Havre-Saint-Pierre,CA,2022-03-07 03:29:05,50.2334,-63.5986,21.79,86,100,23.02
66,La Roda,ES,2022-03-07 03:29:06,39.2167,-2.15,42.53,90,100,9.82
67,Narsaq,GL,2022-03-07 03:29:06,60.9167,-46.05,19.62,95,100,3.83
68,Merrill,US,2022-03-07 03:24:59,45.1805,-89.6835,29.17,86,100,1.01
69,Faanui,PF,2022-03-07 03:29:07,-16.4833,-151.75,81.99,72,75,12.37
70,Bathsheba,BB,2022-03-07 03:29:07,13.2167,-59.5167,77.61,69,40,25.32
71,Mount Isa,AU,2022-03-07 03:29:08,-20.7333,139.5,91.17,18,7,9.22
72,Tuktoyaktuk,CA,2022-03-07 03:29:08,69.4541,-133.0374,12.2,92,100,20.71
73,Nanortalik,GL,2022-03-07 03:29:09,60.1432,-45.2371,21.2,95,100,9.78
74,Nioro,GM,2022-03-07 03:29:09,13.35,-15.75,73.58,17,100,7.65
75,Chuy,UY,2022-03-07 03:29:10,-33.6971,-53.4616,70.63,92,96,6.08
76,Kavieng,PG,2022-03-07 03:29:10,-2.5744,150.7967,82.17,76,81,3.67
77,Teya,RU,2022-03-07 03:29:11,60.3778,92.6267,12.06,92,100,3.67
78,Aginskoye,RU,2022-03-07 03:29:11,51.1,114.53,26.85,73,61,3.04
79,Flinders,AU,2022-03-07 03:29:12,-34.5833,150.8552,77.2,92,100,9.13
80,Saint George,US,2022-03-07 03:29:12,37.1041,-113.5841,47.62,52,100,10.36
81,Yellowknife,CA,2022-03-07 03:25:16,62.456,-114.3525,16.41,94,100,11.99
82,Coquimbo,CL,2022-03-07 03:29:13,-29.9533,-71.3436,60.53,82,0,5.75
83,Aksarka,RU,2022-03-07 03:29:14,66.5606,67.7975,-22.76,98,98,10.94
84,Conakry,GN,2022-03-07 03:26:46,9.538,-13.6773,76.55,69,62,8.57
85,Lebu,CL,2022-03-07 03:29:15,-37.6167,-73.65,56.7,90,32,4.56
86,Carnarvon,AU,2022-03-07 03:29:15,-24.8667,113.6333,102.27,17,0,12.66
87,Henties Bay,NA,2022-03-07 03:29:16,-22.116,14.2845,60.85,90,3,5.53
