City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Carnarvon,AU,-24.8667,113.6333,94.8,34,2,10.11,clear sky
79,Kodinsk,RU,58.6881,99.1844,33.08,88,97,10.87,overcast clouds
80,Alberton,CA,46.8168,-64.0654,32.13,99,100,8.86,snow
81,Ayna,PE,-12.65,-73.9167,61.84,96,99,0.63,light rain
82,Renqiu,CN,38.6989,116.0936,58.44,25,9,7.29,clear sky
83,Talcahuano,CL,-36.7167,-73.1167,56.88,88,0,6.91,clear sky
84,Nanortalik,GL,60.1432,-45.2371,11.86,74,10,8.7,clear sky
85,Cayenne,GF,4.9333,-52.3333,79.09,89,75,6.91,moderate rain
86,Pochutla,MX,15.7432,-96.4661,79.83,68,79,5.48,broken clouds
87,Mbandaka,CD,0.0487,18.2603,73.2,87,100,3.47,overcast clouds
88,Cape Town,ZA,-33.9258,18.4232,66.61,78,20,14.97,few clouds
89,College,US,64.8569,-147.8028,29.86,58,20,6.91,few clouds
90,Cap-Aux-Meules,CA,47.3821,-61.8597,30.25,93,100,4.61,overcast clouds
91,Boguchany,RU,58.3814,97.4531,32.68,80,78,13.24,broken clouds
92,Thompson,CA,55.7435,-97.8558,23.16,68,100,2.3,overcast clouds
93,Aromashevo,RU,56.8602,68.6375,-6.18,95,99,11.63,overcast clouds
94,Lukuledi,TZ,-10.5667,38.8,70.34,98,87,2.01,light rain
95,Kavaratti,IN,10.5669,72.642,80.92,71,15,3.4,few clouds
96,Saskylakh,RU,71.9167,114.0833,-20.79,100,97,4.27,overcast clouds
97,East London,ZA,-33.0153,27.9116,72.54,88,40,9.22,scattered clouds
98,Mahebourg,MU,-20.4081,57.7,75.49,94,75,3.44,light rain
99,Chimbote,PE,-9.0853,-78.5783,74.14,71,72,4.72,broken clouds
100,Alice Springs,AU,-23.7,133.8833,81.95,28,0,16.11,clear sky
101,Nemuro,JP,43.3236,145.575,34.23,72,63,5.48,broken clouds
102,Bambous Virieux,MU,-20.3428,57.7575,75.45,94,75,3.44,light rain
103,Airai,TL,-8.9266,125.4092,67.66,78,99,0.04,overcast clouds
104,Ribeira Grande,PT,38.5167,-28.7,59.16,64,90,25.08,overcast clouds
105,Georgetown,MY,5.4112,100.3354,84.13,82,20,6.91,few clouds
106,Bay-Khaak,RU,51.1667,94.5,23.65,86,99,1.39,overcast clouds
107,Mar Del Plata,AR,-38.0023,-57.5575,62.87,80,0,6.91,clear sky
108,Matara,LK,5.9485,80.5353,82.06,69,47,6.33,scattered clouds
109,Cherskiy,RU,68.75,161.3,-6.75,92,83,3.58,broken clouds
110,Coquimbo,CL,-29.9533,-71.3436,60.53,94,20,4.61,few clouds
111,Waingapu,ID,-9.6567,120.2641,86.45,67,81,7.09,broken clouds
112,Talnakh,RU,69.4865,88.3972,-20.79,91,62,2.08,broken clouds
113,Dingle,PH,10.9995,122.6711,85.08,68,54,13.0,broken clouds
114,Port Augusta,AU,-32.5,137.7667,81.72,29,0,23.13,clear sky
115,Arraial Do Cabo,BR,-22.9661,-42.0278,76.8,88,35,21.32,scattered clouds
116,Tsagan Aman,RU,47.5639,46.7218,28.56,70,55,7.63,broken clouds
117,Santa Rosa,PH,14.3122,121.1114,88.09,62,72,12.59,broken clouds
118,Port-Gentil,GA,-0.7193,8.7815,82.15,79,100,4.65,light rain
119,Roald,NO,62.5833,6.1333,37.09,86,99,5.75,overcast clouds
